i,t,n,b,D
1,1,1,1,255.4
1,1,1,2,274.3
1,1,1,3,115
1,1,1,4,221.4
1,1,2,1,272.1
1,1,2,2,238.5
1,1,2,3,293.5
1,1,2,4,147.6
1,2,1,1,208.9
1,2,1,2,297.4
1,2,1,3,261.3
1,2,1,4,133.4
1,2,2,1,191.1
1,2,2,2,136
1,2,2,3,237.8
1,2,2,4,197.1
2,1,1,1,0
2,1,1,2,0
2,1,1,3,0
2,1,1,4,0
2,1,2,1,0
2,1,2,2,0
2,1,2,3,0
2,1,2,4,0
2,2,1,1,0
2,2,1,2,0
2,2,1,3,0
2,2,1,4,0
2,2,2,1,0
2,2,2,2,0
2,2,2,3,0
2,2,2,4,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,0
3,1,1,4,0
3,1,2,1,0
3,1,2,2,0
3,1,2,3,0
3,1,2,4,0
3,2,1,1,0
3,2,1,2,0
3,2,1,3,0
3,2,1,4,0
3,2,2,1,0
3,2,2,2,0
3,2,2,3,0
3,2,2,4,0
4,1,1,1,0
4,1,1,2,0
4,1,1,3,0
4,1,1,4,0
4,1,2,1,0
4,1,2,2,0
4,1,2,3,0
4,1,2,4,0
4,2,1,1,0
4,2,1,2,0
4,2,1,3,0
4,2,1,4,0
4,2,2,1,0
4,2,2,2,0
4,2,2,3,0
4,2,2,4,0
5,1,1,1,131.8
5,1,1,2,181.9
5,1,1,3,213.4
5,1,1,4,159.3
5,1,2,1,149.7
5,1,2,2,271.5
5,1,2,3,176.4
5,1,2,4,218.1
5,2,1,1,273.2
5,2,1,2,147.2
5,2,1,3,187.3
5,2,1,4,199.7
5,2,2,1,288.8
5,2,2,2,211.9
5,2,2,3,149
5,2,2,4,232.6
6,1,1,1,0
6,1,1,2,0
6,1,1,3,0
6,1,1,4,0
6,1,2,1,0
6,1,2,2,0
6,1,2,3,0
6,1,2,4,0
6,2,1,1,0
6,2,1,2,0
6,2,1,3,0
6,2,1,4,0
6,2,2,1,0
6,2,2,2,0
6,2,2,3,0
6,2,2,4,0
7,1,1,1,0
7,1,1,2,0
7,1,1,3,0
7,1,1,4,0
7,1,2,1,0
7,1,2,2,0
7,1,2,3,0
7,1,2,4,0
7,2,1,1,0
7,2,1,2,0
7,2,1,3,0
7,2,1,4,0
7,2,2,1,0
7,2,2,2,0
7,2,2,3,0
7,2,2,4,0
8,1,1,1,0
8,1,1,2,0
8,1,1,3,0
8,1,1,4,0
8,1,2,1,0
8,1,2,2,0
8,1,2,3,0
8,1,2,4,0
8,2,1,1,0
8,2,1,2,0
8,2,1,3,0
8,2,1,4,0
8,2,2,1,0
8,2,2,2,0
8,2,2,3,0
8,2,2,4,0
9,1,1,1,157.5
9,1,1,2,145
9,1,1,3,290.6
9,1,1,4,156.6
9,1,2,1,245.4
9,1,2,2,211.3
9,1,2,3,206.1
9,1,2,4,231.2
9,2,1,1,277.9
9,2,1,2,199.9
9,2,1,3,200.6
9,2,1,4,228.6
9,2,2,1,246.9
9,2,2,2,111.7
9,2,2,3,154.4
9,2,2,4,236.1
10,1,1,1,0
10,1,1,2,0
10,1,1,3,0
10,1,1,4,0
10,1,2,1,0
10,1,2,2,0
10,1,2,3,0
10,1,2,4,0
10,2,1,1,0
10,2,1,2,0
10,2,1,3,0
10,2,1,4,0
10,2,2,1,0
10,2,2,2,0
10,2,2,3,0
10,2,2,4,0
11,1,1,1,0
11,1,1,2,0
11,1,1,3,0
11,1,1,4,0
11,1,2,1,0
11,1,2,2,0
11,1,2,3,0
11,1,2,4,0
11,2,1,1,0
11,2,1,2,0
11,2,1,3,0
11,2,1,4,0
11,2,2,1,0
11,2,2,2,0
11,2,2,3,0
11,2,2,4,0
12,1,1,1,0
12,1,1,2,0
12,1,1,3,0
12,1,1,4,0
12,1,2,1,0
12,1,2,2,0
12,1,2,3,0
12,1,2,4,0
12,2,1,1,0
12,2,1,2,0
12,2,1,3,0
12,2,1,4,0
12,2,2,1,0
12,2,2,2,0
12,2,2,3,0
12,2,2,4,0
13,1,1,1,237.4
13,1,1,2,254.3
13,1,1,3,289.8
13,1,1,4,240.8
13,1,2,1,277.2
13,1,2,2,179.2
13,1,2,3,299.3
13,1,2,4,270.2
13,2,1,1,272.9
13,2,1,2,256.1
13,2,1,3,221.6
13,2,1,4,135.1
13,2,2,1,170.2
13,2,2,2,193.5
13,2,2,3,261.2
13,2,2,4,206
14,1,1,1,0
14,1,1,2,0
14,1,1,3,0
14,1,1,4,0
14,1,2,1,0
14,1,2,2,0
14,1,2,3,0
14,1,2,4,0
14,2,1,1,0
14,2,1,2,0
14,2,1,3,0
14,2,1,4,0
14,2,2,1,0
14,2,2,2,0
14,2,2,3,0
14,2,2,4,0
15,1,1,1,0
15,1,1,2,0
15,1,1,3,0
15,1,1,4,0
15,1,2,1,0
15,1,2,2,0
15,1,2,3,0
15,1,2,4,0
15,2,1,1,0
15,2,1,2,0
15,2,1,3,0
15,2,1,4,0
15,2,2,1,0
15,2,2,2,0
15,2,2,3,0
15,2,2,4,0
16,1,1,1,0
16,1,1,2,0
16,1,1,3,0
16,1,1,4,0
16,1,2,1,0
16,1,2,2,0
16,1,2,3,0
16,1,2,4,0
16,2,1,1,0
16,2,1,2,0
16,2,1,3,0
16,2,1,4,0
16,2,2,1,0
16,2,2,2,0
16,2,2,3,0
16,2,2,4,0
17,1,1,1,255.4
17,1,1,2,274.3
17,1,1,3,115
17,1,1,4,221.4
17,1,2,1,272.1
17,1,2,2,238.5
17,1,2,3,293.5
17,1,2,4,147.6
17,2,1,1,208.9
17,2,1,2,297.4
17,2,1,3,261.3
17,2,1,4,133.4
17,2,2,1,191.1
17,2,2,2,136
17,2,2,3,237.8
17,2,2,4,197.1
18,1,1,1,0
18,1,1,2,0
18,1,1,3,0
18,1,1,4,0
18,1,2,1,0
18,1,2,2,0
18,1,2,3,0
18,1,2,4,0
18,2,1,1,0
18,2,1,2,0
18,2,1,3,0
18,2,1,4,0
18,2,2,1,0
18,2,2,2,0
